code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,212.158,c,Gasoline CIF West Africa Cargo Eur/mt,2020-05-13 17:49:35,2020-05-13 00:00:00,N,Y,OK
AAUHE03,132.108,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAUHE03,132.568,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAUHE03,131.647,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAUQC03,244.988,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAUQC03,245.238,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAUQC03,244.738,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH03,255.85,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH03,256.1,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH03,255.6,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJI03,183.95,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJI03,184.2,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVJI03,183.7,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAWZC00,236.75,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-05-13 17:27:34,2020-05-13 00:00:00,N,Y,OK
AAWZC00,237.0,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-05-13 17:27:34,2020-05-13 00:00:00,N,Y,OK
AAWZC00,236.5,l,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-05-13 17:27:34,2020-05-13 00:00:00,N,Y,OK
AAYWR03,214.25,c,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWR03,214.5,h,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWR03,214.0,l,Gasoil 0.1%S FOB NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWT03,231.888,c,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWT03,232.138,h,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAYWT03,231.638,l,Gasoil .1%S (1000ppm) FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAZBN00,173.25,c,Jet CIF Med Cargo,2020-05-13 17:04:58,2020-05-13 00:00:00,N,Y,OK
AAZBN00,173.5,h,Jet CIF Med Cargo,2020-05-13 17:04:58,2020-05-13 00:00:00,N,Y,OK
AAZBN00,173.0,l,Jet CIF Med Cargo,2020-05-13 17:04:58,2020-05-13 00:00:00,N,Y,OK
ABWGF03,147.974,c,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGF03,148.205,h,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGF03,147.744,l,FO 1%S CIF Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGH03,134.902,c,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGH03,135.132,h,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGH03,134.672,l,FO 1%S FOB Med Cargo Eur/mt MAvg,2020-05-01 05:10:08,2020-04-01 00:00:00,N,Y,OK
ABWGL03,100.81,c,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGL03,101.04,h,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
ABWGL03,100.58,l,FO 3.5%S CIF NWE Cargo Eur/mt MAvg,2020-05-01 05:10:07,2020-04-01 00:00:00,N,Y,OK
AAIDM00,132.5,c,Jet FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAIDM00,132.75,h,Jet FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAIDM00,132.25,l,Jet FOB Med Cargo MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAJUW00,246.113,c,ULSD 10ppmS FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAJUW00,246.363,h,ULSD 10ppmS FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAJUW00,245.863,l,ULSD 10ppmS FOB ARA Barge MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAKOD00,295.25,c,Gasoline Reg Unleaded 98 FOB AR Barges,2020-05-13 17:49:29,2020-05-13 00:00:00,N,Y,OK
AAKOD00,295.5,h,Gasoline Reg Unleaded 98 FOB AR Barges,2020-05-13 17:49:29,2020-05-13 00:00:00,N,Y,OK
AAKOD00,295.0,l,Gasoline Reg Unleaded 98 FOB AR Barges,2020-05-13 17:49:29,2020-05-13 00:00:00,N,Y,OK
AAQCF03,163.801,c,Jet CIF NWE Cargo Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCF03,164.031,h,Jet CIF NWE Cargo Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCF03,163.571,l,Jet CIF NWE Cargo Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCH03,162.806,c,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCH03,163.036,h,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCH03,162.575,l,Gasoline Prem Unleaded FOB AR Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCK00,115.534,c,FO 3.5%S FOB Rdam Barge Eur/mt,2020-05-13 18:08:12,2020-05-13 00:00:00,N,Y,OK
AAQCK00,115.764,h,FO 3.5%S FOB Rdam Barge Eur/mt,2020-05-13 18:08:12,2020-05-13 00:00:00,N,Y,OK
AAQCK00,115.303,l,FO 3.5%S FOB Rdam Barge Eur/mt,2020-05-13 18:08:12,2020-05-13 00:00:00,N,Y,OK
AAQCK03,104.721,c,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCK03,104.951,h,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAQCK03,104.491,l,FO 3.5%S FOB Rdam Barge Eur/mt MAvg,2020-05-01 06:01:43,2020-04-01 00:00:00,N,Y,OK
AAVBG03,250.15,c,ULSD 10ppmS CIF NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBG03,250.4,h,ULSD 10ppmS CIF NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBG03,249.9,l,ULSD 10ppmS CIF NWE Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
AAVBH00,238.25,c,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-05-13 17:27:34,2020-05-13 00:00:00,N,Y,OK
AAVBH00,238.5,h,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-05-13 17:27:34,2020-05-13 00:00:00,N,Y,OK
AAVBH00,238.0,l,ULSD 10ppmS CIF NWE Basis UK Cargo,2020-05-13 17:27:34,2020-05-13 00:00:00,N,Y,OK
AAVJJ00,218.25,c,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-05-13 17:31:04,2020-05-13 00:00:00,N,Y,OK
AAVJJ00,218.5,h,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-05-13 17:31:04,2020-05-13 00:00:00,N,Y,OK
AAVJJ00,218.0,l,Gasoil .1%S (1000ppm) CIF Med Cargo,2020-05-13 17:31:04,2020-05-13 00:00:00,N,Y,OK
AAVJJ03,219.613,c,Gasoil .1%S (1000ppm) CIF Med Cargo MAvg,2020-05-01 09:15:08,2020-04-01 00:00:00,N,Y,OK
