code,value,bate,code_description,modifiedDateTime,assessmentDate,isCorrected,isLatest,status
AANWC00,352.13,c,Gasoline CIF West Africa Cargo Eur/mt,2020-08-28 18:09:04,2020-08-28 00:00:00,N,Y,OK
AAUHE03,218.652,c,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-08-01 05:10:08,2020-07-01 00:00:00,N,Y,OK
AAUHE03,219.088,h,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-08-01 05:10:08,2020-07-01 00:00:00,N,Y,OK
AAUHE03,218.216,l,FO 380 CST Rdam dlvd Eur/mt MAvg,2020-08-01 05:10:08,2020-07-01 00:00:00,N,Y,OK
AAUQC03,363.337,c,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAUQC03,363.587,h,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAUQC03,363.087,l,Gasoil .005%S (50ppm) FOB ARA Barge MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAVBH03,376.848,c,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAVBH03,377.098,h,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAVBH03,376.598,l,ULSD 10ppmS CIF NWE Basis UK Cargo MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAVJI03,359.924,c,Gasoil 0.1%S FOB Med Cargo MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAVJI03,360.174,h,Gasoil 0.1%S FOB Med Cargo MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAVJI03,359.674,l,Gasoil 0.1%S FOB Med Cargo MAvg,2020-08-01 09:15:10,2020-07-01 00:00:00,N,Y,OK
AAWZC00,368.5,c,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-08-28 17:54:25,2020-08-28 00:00:00,N,Y,OK
AAWZC00,368.75,h,ULSD 10ppmS CIF NWE Basis Le Havre Cargo,2020-08-28 17:54:25,2020-08-28 00:00:00,N,Y,OK
